time,A1,A2,A3,A4
0.0,0.996324,0.0,0.0,0.0
0.0002284927168530609,0.9077697462528104,0.04315994362762354,0.0007004272379314265,3.3271194418804996e-05
0.0004569854337061218,0.8320753243008154,0.07823329318528142,0.0023486335053607425,0.00018404720253226053
0.0006854781505591826,0.7670987695032931,0.10665742956804526,0.004632927301580317,0.0005028973629379849
0.0009139708674122435,0.7108351036215627,0.1297691878916303,0.007294839841850173,0.0010165002670546053
0.0011424635842653044,0.661752194549348,0.14858315647962397,0.010173984606999063,0.0017208846698719775
0.0013709563011183653,0.6183157221713801,0.16411695758094053,0.013099882903498603,0.0026186784964546744
0.0015994490179714262,0.5796889798082084,0.1769151445866069,0.016025790989507536,0.0036818395273233405
0.001827941734824487,0.5450173985592445,0.18753584894879902,0.018886851582017108,0.004893587222807718
0.002056434451677548,0.5138364121664544,0.19627376717211414,0.021676187140404212,0.006227873048368034
0.0022849271685306087,0.4855143527501805,0.20353681109080624,0.024349815519223522,0.007671644662170747
0.00251341988538367,0.4598713639394945,0.20942785637264652,0.026934815761607195,0.009198119037098135
0.0027419126022367305,0.43640506951884445,0.21426763942896926,0.02939600648379309,0.010798908063715416
0.0029704053190897917,0.415033617326647,0.2180932737894672,0.03176082538454174,0.0124553397425904
0.0031988980359428524,0.3954062864876466,0.22112412081033467,0.03401253964993291,0.01415796322761084
0.0034273907527959135,0.3773674859788032,0.22344782534192487,0.03615728028043601,0.01589725560225492
0.003655883469648974,0.3607247689847912,0.22517803497588898,0.03819557165670045,0.017664111490000137
0.003884376186502035,0.345303594892982,0.2264168270434576,0.04012698732669929,0.019451447218672535
0.004112868903355096,0.3309774708151799,0.2272344680547801,0.04195541066082787,0.021252840228086836
0.004341361620208157,0.31762950734612644,0.2276957854955099,0.04368573571490956,0.023061428583087816
0.004569854337061217,0.30514958551233357,0.2278613224113704,0.04532135100224941,0.024871929119916574
0.004798347053914279,0.2934320331763018,0.22778937781738764,0.04686627191710775,0.026678598820333743
0.00502683977076734,0.28243738674342406,0.22749437292665442,0.04832758388317998,0.02847877890566282
0.0052553324876204,0.2721289716615718,0.22698948191780183,0.04971236810396267,0.030269740019660197
0.005483825204473461,0.26248229097984166,0.22628027380082094,0.05102786957048301,0.03204938814941673
0.005712317921326522,0.25328733719500185,0.22549660855389655,0.052265879484733435,0.0338114517895953
0.005940810638179583,0.24461339579199629,0.22458252349101585,0.05343945523884691,0.03555679786127588
0.006169303355032644,0.23645033670188084,0.22353556106233002,0.05455458205480754,0.0372846987389953
0.006397796071885705,0.22880223693574198,0.22234430449545564,0.05561756927313658,0.038995111549494366
0.006626288788738765,0.2215373986835497,0.22108779765063927,0.056625415627155465,0.04068368976834611
0.006854781505591827,0.21461889959413105,0.2197827180778538,0.05758061962143238,0.0423494513304756
0.007083274222444888,0.20807614114085496,0.21840223700817898,0.05848935181996297,0.043993832327789646
0.007311766939297948,0.20190124077835922,0.21694469881907905,0.05935479915540711,0.04561724100862106
0.007540259656151009,0.19606069975979504,0.21542545478051642,0.060179081011625765,0.047218786886905326
0.00776875237300407,0.19046952188760546,0.21389366937662535,0.06096253146783595,0.04879488621036421
0.00799724508985713,0.18515068964245954,0.21232876243262938,0.061708121995625934,0.05034785484309248
0.008225737806710192,0.18008775745427946,0.21073612956800558,0.06241737347848693,0.051877965705608535
0.008454230523563254,0.17526656972355115,0.20912005206340356,0.06309151316344942,0.05338569662261231
0.008682723240416313,0.17066093509377325,0.20749305706010454,0.0637331477422408,0.054869376843049475
