time,A1_e0a393c92eea1406ea9fd08d7cf34145,A2_76ae3f437a8d2cf50cba333e625b920a,A2_7c09fbce88c98e6672cf56946fa651f3,A2_924a4f22db258688479e58beddc57e0e,A3_17a3d2fc4b18178b0aea9a1e0644e199,A4_7fae95a8c151be90d1afdefdc9db22b7
0.0,0.996324,0.0,0.0,0.0,0.0,0.0
0.0002284927168530609,0.9077697462528104,0.014477066922249458,0.01438955665465255,0.014293320050721533,0.0007004272379314265,3.3271194418804996e-05
0.0004569854337061218,0.8320753243008154,0.026243001948045127,0.026082207967663577,0.025908083269572724,0.0023486335053607425,0.00018404720253226053
0.0006854781505591826,0.7670987695032931,0.03577944961313709,0.035557364332760785,0.03532061562214739,0.004632927301580317,0.0005028973629379849
0.0009139708674122435,0.7108351036215627,0.043534419150644536,0.04326090165457676,0.04297386708640901,0.007294839841850173,0.0010165002670546053
0.0011424635842653044,0.661752194549348,0.04984799117527685,0.04953121768546778,0.04920394761887933,0.010173984606999063,0.0017208846698719775
0.0013709563011183653,0.6183157221713801,0.05506124625528096,0.054707721207853735,0.05434799011780585,0.013099882903498603,0.0026186784964546744
0.0015994490179714262,0.5796889798082084,0.059356786448240724,0.05897203718980603,0.05858632094856015,0.016025790989507536,0.0036818395273233405
0.001827941734824487,0.5450173985592445,0.06292173702972094,0.062510317504784,0.06210379441429406,0.018886851582017108,0.004893587222807718
0.002056434451677548,0.5138364121664544,0.06585495312407946,0.06542084854108908,0.06499796550694557,0.021676187140404212,0.006227873048368034
0.0022849271685306087,0.4855143527501805,0.06829320349232687,0.0678396764044753,0.06740393119400406,0.024349815519223522,0.007671644662170747
0.00251341988538367,0.4598713639394945,0.07027105446550047,0.06980110687461523,0.06935569503253083,0.026934815761607195,0.009198119037098135
0.0027419126022367305,0.43640506951884445,0.07189604607853886,0.07141210881770854,0.07095948453272186,0.02939600648379309,0.010798908063715416
0.0029704053190897917,0.415033617326647,0.07318068429260635,0.0726850520657993,0.07222753743106154,0.03176082538454174,0.0124553397425904
0.0031988980359428524,0.3954062864876466,0.07419853294036016,0.07369309345096785,0.07323249441900666,0.03401253964993291,0.01415796322761084
0.0034273907527959135,0.3773674859788032,0.07497901056980123,0.07446545636545883,0.07400335840666482,0.03615728028043601,0.01589725560225492
0.003655883469648974,0.3607247689847912,0.07556024722407334,0.07504003792921111,0.07457774982260454,0.03819557165670045,0.017664111490000137
0.003884376186502035,0.345303594892982,0.07597648919805587,0.07545087609346554,0.07498946175193623,0.04012698732669929,0.019451447218672535
0.004112868903355096,0.3309774708151799,0.07625131847882097,0.07572139872563693,0.07526175085032219,0.04195541066082787,0.021252840228086836
0.004341361620208157,0.31762950734612644,0.07640649307293583,0.07587322021066678,0.07541607221190726,0.04368573571490956,0.023061428583087816
0.004569854337061217,0.30514958551233357,0.0764623312800628,0.07592652599293602,0.07547246513837155,0.04532135100224941,0.024871929119916574
0.004798347053914279,0.2934320331763018,0.07643839944175673,0.07590075366713735,0.07545022470849358,0.04686627191710775,0.026678598820333743
0.00502683977076734,0.28243738674342406,0.07633954762074907,0.0758007053569527,0.07535411994895262,0.04832758388317998,0.02847877890566282
0.0052553324876204,0.2721289716615718,0.07617020746379123,0.07563076777884789,0.0751885066751627,0.04971236810396267,0.030269740019660197
0.005483825204473461,0.26248229097984166,0.07593225922476722,0.07539279133840304,0.07495522323765069,0.05102786957048301,0.03204938814941673
0.005712317921326522,0.25328733719500185,0.07566925699472493,0.07513008453415178,0.07469726702501986,0.052265879484733435,0.0338114517895953
0.005940810638179583,0.24461339579199629,0.07536244653031647,0.0748239745035764,0.07439610245712297,0.05343945523884691,0.03555679786127588
0.006169303355032644,0.23645033670188084,0.07501101269150123,0.07447363562273018,0.07405091274809861,0.05455458205480754,0.0372846987389953
0.006397796071885705,0.22880223693574198,0.07461113492642578,0.07407525430751119,0.07365791526151869,0.05561756927313658,0.038995111549494366
0.006626288788738765,0.2215373986835497,0.07418932712721252,0.07365519033072784,0.0732432801926989,0.056625415627155465,0.04068368976834611
0.006854781505591827,0.21461889959413105,0.0737511880256569,0.07321900166526144,0.07281252838693544,0.05758061962143238,0.0423494513304756
0.007083274222444888,0.20807614114085496,0.07328772577891267,0.07275773520087495,0.07235677602839138,0.05848935181996297,0.043993832327789646
0.007311766939297948,0.20190124077835922,0.07279838921877499,0.07227083465853448,0.07187547494176957,0.05935479915540711,0.04561724100862106
0.007540259656151009,0.19606069975979504,0.07228833139858254,0.07176341631111706,0.07137370707081683,0.060179081011625765,0.047218786886905326
0.00776875237300407,0.19046952188760546,0.07177404715457143,0.07125187434615812,0.07086774787589578,0.06096253146783595,0.04879488621036421
0.00799724508985713,0.18515068964245954,0.07124863535215768,0.07072934151481058,0.07035078556566109,0.061708121995625934,0.05034785484309248
0.008225737806710192,0.18008775745427946,0.07071390763275456,0.07019761449140687,0.06982460744384415,0.06241737347848693,0.051877965705608535
0.008454230523563254,0.17526656972355115,0.07017130122085206,0.06965811858151648,0.069290632261035,0.06309151316344942,0.05338569662261231
0.008682723240416313,0.17066093509377325,0.06962502250419325,0.06911502898829576,0.06875300556761552,0.0637331477422408,0.054869376843049475
0.008911215957269375,0.16625337845899202,0.06907678213916854,0.06857004112130892,0.06821341492614687,0.06434398518965767,0.05632954734865995
0.009139708674122435,0.16202482652428796,0.0685288979923387,0.06802545407214759,0.06767414603348941,0.06492586767300174,0.05776614351039507
0.009368201390975496,0.15795597319588653,0.0679837455204575,0.0674836241336412,0.0671375412992544,0.06548066321735829,0.05917905375346477
0.009596694107828558,0.15407727386019515,0.06743553256610467,0.06693879876250118,0.06659789144335487,0.06600726656487538,0.06057012016462636
0.009825186824681618,0.15038234662302966,0.06688451326899565,0.06639122820053006,0.06605544766661336,0.06650677351075326,0.06193973857987573
0.01005367954153468,0.1468311482442376,0.06633646678308264,0.06584664794312362,0.06551590776652846,0.06698229113894902,0.06328698327328956
0.01028217225838774,0.14340959270469447,0.0657929117667375,0.06530656365066012,0.06498076951502926,0.06743537557146885,0.06461194761291869
0.0105106649752408,0.14010359398527564,0.0652553668783321,0.06477248098351784,0.06445153068404483,0.06786758293031898,0.065914724966814
0.010739157692093862,0.13689906606685653,0.0647253507762383,0.06424590560207506,0.06392968904550421,0.06828046933750562,0.06719540870302632
0.010967650408946922,0.13379572550591273,0.06420219888851693,0.06372617569078709,0.06341458947289828,0.06867476820691726,0.06845451037874349
0.011196143125799984,0.13085518463198262,0.06367545624382848,0.06320290968311967,0.06289592245947606,0.06904752362978069,0.06969441686346253
0.011424635842653044,0.12801660123041522,0.06315403718858602,0.06268495555953608,0.062382478716052986,0.06940307865010334,0.07091380491042101
0.011653128559506105,0.12527151095096783,0.0626385711704621,0.06217293618634039,0.061874879157766564,0.06974265430803726,0.0721129382124647
0.011881621276359167,0.12261144944339772,0.062129687637129304,0.061667474429836694,0.06137374469975432,0.07006747164373453,0.07329208046243935
0.012110113993212226,0.12002795235746222,0.061628016036260176,0.061169193156329085,0.06087969625715376,0.07037875169734717,0.07445149535319068
0.012338606710065288,0.11751255534291856,0.06113418581552727,0.060678715232121636,0.060393354745102386,0.07067771550902727,0.07559144657756449
0.01256709942691835,0.11510045233245589,0.06064308291526446,0.06019096743244993,0.05990967991430067,0.0709609845721019,0.07671328329924197
0.01279559214377141,0.11277790161868653,0.06015603105093168,0.05970726115978759,0.05942997699416932,0.07123033591403344,0.07781713800074899
0.013024084860624471,0.11052776065156697,0.05967480133911045,0.059229351524151846,0.058955992200998134,0.07148790485248692,0.07890305860985408
0.01325257757747753,0.10834520016317957,0.05919954501072708,0.05875738712308094,0.05848787508922505,0.07173452945947541,0.07997139919803413
0.013481070294330592,0.10622539088560666,0.05873041329670786,0.05829151655411311,0.058025775213288035,0.07197104780701194,0.081022513836766
0.013709563011183654,0.10416350355093061,0.058267557427979115,0.057831888414786585,0.057569842127625025,0.07219829796710957,0.08205675659752655
0.013938055728036714,0.10216285926088248,0.05781041085481085,0.057377941188314886,0.05711951815437143,0.07241580073603535,0.08307449947998419
0.014166548444889775,0.10023713082724277,0.05735749538081735,0.056928211448193496,0.0566733473663747,0.07262140385016266,0.08407613725423965
0.014395041161742835,0.0983687589364779,0.0569100833370579,0.05648395691806609,0.05623258394275369,0.07281800283178695,0.08506199598976424
0.014623533878595897,0.09655471338488136,0.05646816751581787,0.056045169449050504,0.05579722132768639,0.07300614498529318,0.08603243371539744
0.014852026595448958,0.0947919639687467,0.056031740709382626,0.055611840892264564,0.055367252965350826,0.07318637761506627,0.08698780845997865
0.015080519312302018,0.09307748048436747,0.05560079571003756,0.055183963098826096,0.05494267229992499,0.07335924802549121,0.08792847825234733
0.01530901202915508,0.09140823272803712,0.05517532531006803,0.05476152791985292,0.0545234727755869,0.07352530352095293,0.0888548011213429
0.01553750474600814,0.08980036493480739,0.05475471614839447,0.05434393358184775,0.054109049411829396,0.0736811499078147,0.08976619671125265
0.0157659974628612,0.0882408946040462,0.0543392756350257,0.05393148005073199,0.05369970625906149,0.07382938028482022,0.09066351010984959
0.01599449017971426,0.08672511206273788,0.053929049654594975,0.0535242111725911,0.05329548917686199,0.07397088718809984,0.091547181538108
