TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.0593487	97	44	26	0	0	0	0	0	65
0.0598052	97	44	26	0	0	0	0	0	65
0.0602618	100	46	26	0	0	0	0	0	66
0.0607183	103	48	26	0	0	0	0	0	67
0.0611748	103	48	26	0	0	0	0	0	67
0.0616313	103	48	26	0	0	0	0	0	67
0.0620879	103	48	26	0	0	0	0	0	67
0.0625444	103	48	26	0	0	0	0	0	67
0.0630009	103	48	26	0	0	0	0	0	67
0.0634575	103	48	26	0	0	0	0	0	67
0.063914	103	48	26	0	0	0	0	0	67
0.0643705	103	48	26	0	0	0	0	0	67
0.064827	103	48	26	0	0	0	0	0	67
0.0652836	103	48	26	0	0	0	0	0	67
0.0657401	103	48	26	0	0	0	0	0	67
0.0661966	103	48	26	0	0	0	0	0	67
0.0666532	103	48	26	0	0	0	0	0	67
0.0671097	103	48	26	0	0	0	0	0	67
0.0675662	103	48	26	0	0	0	0	0	67
0.0680227	103	48	26	0	0	0	0	0	67
0.0684793	103	48	26	0	0	0	0	0	67
0.0689358	103	48	26	0	0	0	0	0	67
0.0693923	103	48	26	0	0	0	0	0	67
0.0698489	103	48	26	0	0	0	0	0	67
0.0703054	103	48	26	0	0	0	0	0	67
0.0707619	103	48	26	0	0	0	0	0	67
0.0712184	103	48	26	0	0	0	0	0	67
0.071675	103	48	26	0	0	0	0	0	67
0.0721315	103	48	26	0	0	0	0	0	67
0.072588	103	48	26	0	0	0	0	0	67
0.0730446	103	48	26	0	0	0	0	0	67
0.0735011	103	48	26	0	0	0	0	0	67
0.0739576	103	48	26	0	0	0	0	0	67
0.0744141	103	48	27	0	0	0	0	0	67
0.0748707	103	48	27	0	0	0	0	0	67
0.0753272	103	48	27	0	0	0	0	0	67
0.0757837	103	48	27	0	0	0	0	0	67
0.0762403	103	48	27	0	0	0	0	0	67
0.0766968	103	48	27	0	0	0	0	0	67
0.0771533	103	48	27	0	0	0	0	0	67
0.0776098	103	48	27	0	0	0	0	0	67
0.0780664	103	48	27	0	0	0	0	0	67
0.0785229	103	48	27	0	0	0	0	0	67
0.0789794	103	48	27	0	0	0	0	0	67
0.0794359	103	48	27	0	0	0	0	0	67
0.0798925	103	48	27	0	0	0	0	0	67
0.080349	103	48	27	0	0	0	0	0	67
0.0808055	103	48	27	0	0	0	0	0	67
0.0812621	103	48	27	0	0	0	0	0	67
0.0817186	103	48	27	0	0	0	0	0	67
0.0821751	103	48	27	0	0	0	0	0	67
0.0826316	103	48	27	0	0	0	0	0	67
0.0830882	103	48	27	0	0	0	0	0	67
0.0835447	103	48	27	0	0	0	0	0	67
0.0840012	103	48	27	0	0	0	0	0	67
0.0844578	103	48	27	0	0	0	0	0	67
0.0849143	103	48	27	0	0	0	0	0	67
0.0853708	103	48	27	0	0	0	0	0	67
0.0858273	103	48	27	0	0	0	0	0	67
0.0862839	103	48	27	0	0	0	0	0	67
0.0867404	103	48	27	0	0	0	0	0	67
0.0871969	103	48	27	0	0	0	0	0	67
0.0876535	103	48	27	0	0	0	0	0	67
0.08811	103	48	27	0	0	0	0	0	67
0.0885665	103	48	27	0	0	0	0	0	67
0.089023	103	48	27	0	0	0	0	0	67
0.0894796	103	48	27	0	0	0	0	0	67
0.0899361	103	48	27	0	0	0	0	0	67
0.0903926	103	48	27	0	0	0	0	0	67
0.0908492	103	48	27	0	0	0	0	0	67
0.0913057	103	48	27	0	0	0	0	0	67
0.0917622	103	48	27	0	0	0	0	0	67
0.0922187	103	48	27	0	0	0	0	0	67
0.0926753	103	48	27	0	0	0	0	0	67
0.0931318	103	48	27	0	0	0	0	0	67
0.0935883	103	48	27	0	0	0	0	0	67
0.0940449	103	48	27	0	0	0	0	0	67
0.0945014	103	48	27	0	0	0	0	0	67
0.0949579	103	48	27	0	0	0	0	0	67
0.0954144	103	48	27	0	0	0	0	0	67
0.095871	103	48	27	0	0	0	0	0	67
0.0963275	103	48	27	0	0	0	0	0	67
0.096784	103	48	27	0	0	0	0	0	67
0.0972406	103	48	27	0	0	0	0	0	67
0.0976971	103	48	27	0	0	0	0	0	67
0.0981536	103	48	27	0	0	0	0	0	67
0.0986101	103	48	27	0	0	0	0	0	67
0.0990667	103	48	27	0	0	0	0	0	67
0.0995232	103	48	27	0	0	0	0	0	67
0.0999797	103	48	27	0	0	0	0	0	67
0.100436	103	48	27	0	0	0	0	0	67
0.100893	103	48	27	0	0	0	0	0	67
0.101349	103	48	27	0	0	0	0	0	67
0.101806	103	48	27	0	0	0	0	0	67
0.102262	103	48	27	0	0	0	0	0	67
0.102719	103	48	27	0	0	0	0	0	67
0.103175	103	48	27	0	0	0	0	0	67
0.103632	103	48	27	0	0	0	0	0	67
0.104088	103	48	27	0	0	0	0	0	67
0.104545	103	48	27	0	0	0	0	0	67
0.105002	103	48	27	0	0	0	0	0	67
0.105458	103	48	27	0	0	0	0	0	67
0.105915	103	48	27	0	0	0	0	0	67
0.106371	103	48	27	0	0	0	0	0	67
0.106828	103	48	27	0	0	0	0	0	67
0.107284	103	48	27	0	0	0	0	0	67
0.107741	103	48	27	0	0	0	0	0	67
0.108197	103	48	27	0	0	0	0	0	67
0.108654	103	48	27	0	0	0	0	0	67
0.10911	103	48	27	0	0	0	0	0	67
0.109567	103	48	27	0	0	0	0	0	67
0.110023	103	48	27	0	0	0	0	0	67
0.11048	103	48	27	0	0	0	0	0	67
0.110936	103	48	27	0	0	0	0	0	67
0.111393	103	48	27	0	0	0	0	0	67
0.111849	103	48	27	0	0	0	0	0	67
0.112306	103	48	27	0	0	0	0	0	67
0.112763	103	48	27	0	0	0	0	0	67
0.113219	103	48	27	0	0	0	0	0	67
0.113676	103	48	27	0	0	0	0	0	67
0.114132	103	48	27	0	0	0	0	0	67
0.114589	103	48	27	0	0	0	0	0	67
0.115045	103	48	27	0	0	0	0	0	67
0.115502	103	48	27	0	0	0	0	0	67
0.115958	103	48	27	0	0	0	0	0	67
0.116415	103	48	27	0	0	0	0	0	67
0.116871	103	48	27	0	0	0	0	0	67
0.117328	103	48	27	0	0	0	0	0	67
0.117784	103	48	27	0	0	0	0	0	67
0.118241	103	48	27	0	0	0	0	0	67
0.118697	103	48	27	0	0	0	0	0	67
0.119154	103	48	27	0	0	0	0	0	67
0.11961	103	48	27	0	0	0	0	0	67
0.120067	103	48	27	0	0	0	0	0	67
0.120524	103	48	27	0	0	0	0	0	67
0.12098	103	48	27	0	0	0	0	0	67
0.121437	103	48	27	0	0	0	0	0	67
0.121893	103	48	27	0	0	0	0	0	67
0.12235	103	48	27	0	0	0	0	0	67
0.122806	103	48	27	0	0	0	0	0	67
0.123263	103	48	27	0	0	0	0	0	67
0.123719	103	48	27	0	0	0	0	0	67
0.124176	103	48	27	0	0	0	0	0	67
0.124632	103	48	27	0	0	0	0	0	67
0.125089	103	48	27	0	0	0	0	0	67
0.125545	103	48	27	0	0	0	0	0	67
0.126002	103	48	27	0	0	0	0	0	67
0.126458	103	48	27	0	0	0	0	0	67
0.126915	103	48	28	0	0	0	0	0	67
0.127371	103	48	28	0	0	0	0	0	67
0.127828	103	48	28	0	0	0	0	0	67
0.128284	103	48	28	0	0	0	0	0	67
0.128741	103	48	28	0	0	0	0	0	67
0.129198	103	48	28	0	0	0	0	0	67
0.129654	103	48	28	0	0	0	0	0	67
0.130111	103	48	28	0	0	0	0	0	67
0.130567	103	48	28	0	0	0	0	0	67
0.131024	103	48	28	0	0	0	0	0	67
0.13148	103	48	28	0	0	0	0	0	67
0.131937	103	48	28	0	0	0	0	0	67
0.132393	103	48	28	0	0	0	0	0	67
