Time (s): 0
130	A: 1. 
Time (s): 0.0004
130	A: 1. 
Time (s): 0.0008
130	A: 1. 
Time (s): 0.0012
130	A: 1. 
Time (s): 0.0016
130	A: 1. 
Time (s): 0.002
130	A: 1. 
Time (s): 0.0024
130	A: 1. 
Time (s): 0.0028
1	A: 2. 
128	A: 1. 
Time (s): 0.0032
4	A: 2. 
122	A: 1. 
Time (s): 0.0036
2	A: 2. 
1	A: 3. 
123	A: 1. 
Time (s): 0.004
3	A: 2. 
1	A: 3. 
121	A: 1. 
Time (s): 0.0044
4	A: 2. 
1	A: 3. 
119	A: 1. 
Time (s): 0.0048
5	A: 2. 
1	A: 3. 
117	A: 1. 
Time (s): 0.0052
5	A: 2. 
1	A: 3. 
117	A: 1. 
Time (s): 0.0056
6	A: 2. 
118	A: 1. 
Time (s): 0.006
7	A: 2. 
116	A: 1. 
Time (s): 0.0064
8	A: 2. 
114	A: 1. 
Time (s): 0.0068
9	A: 2. 
112	A: 1. 
Time (s): 0.0072
8	A: 2. 
114	A: 1. 
Time (s): 0.0076
8	A: 2. 
114	A: 1. 
Time (s): 0.008
9	A: 2. 
112	A: 1. 
Time (s): 0.0084
9	A: 2. 
112	A: 1. 
Time (s): 0.0088
10	A: 2. 
110	A: 1. 
Time (s): 0.0092
1	A: 3. 
9	A: 2. 
109	A: 1. 
Time (s): 0.0096
1	A: 3. 
9	A: 2. 
109	A: 1. 
Time (s): 0.01
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0104
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0108
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0112
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0116
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.012
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0124
1	A: 3. 
10	A: 2. 
107	A: 1. 
Time (s): 0.0128
2	A: 3. 
9	A: 2. 
106	A: 1. 
Time (s): 0.0132
2	A: 3. 
9	A: 2. 
106	A: 1. 
Time (s): 0.0136
2	A: 3. 
9	A: 2. 
106	A: 1. 
Time (s): 0.014
2	A: 3. 
10	A: 2. 
104	A: 1. 
Time (s): 0.0144
2	A: 3. 
10	A: 2. 
104	A: 1. 
Time (s): 0.0148
2	A: 3. 
10	A: 2. 
104	A: 1. 
Time (s): 0.0152
1	A: 3. 
12	A: 2. 
103	A: 1. 
Time (s): 0.0156
1	A: 3. 
11	A: 2. 
105	A: 1. 
Time (s): 0.016
1	A: 3. 
11	A: 2. 
105	A: 1. 
Time (s): 0.0164
1	A: 3. 
12	A: 2. 
103	A: 1. 
Time (s): 0.0168
1	A: 3. 
14	A: 2. 
99	A: 1. 
Time (s): 0.0172
1	A: 3. 
14	A: 2. 
99	A: 1. 
Time (s): 0.0176
1	A: 3. 
14	A: 2. 
99	A: 1. 
Time (s): 0.018
1	A: 3. 
15	A: 2. 
97	A: 1. 
Time (s): 0.0184
1	A: 3. 
15	A: 2. 
