TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.0544	58	14	0	0	0	0	0	0	81
0.0548	60	15	0	0	0	0	0	0	82
0.0552	60	15	0	0	0	0	0	0	82
0.0556	60	15	0	0	0	0	0	0	82
0.056	61	15	0	0	0	0	0	0	83
0.0564	58	14	0	0	0	0	0	0	83
0.0568	58	14	0	0	0	0	0	0	83
0.0572	58	14	0	0	0	0	0	0	83
0.0576	58	14	0	0	0	0	0	0	83
0.058	58	14	0	0	0	0	0	0	83
0.0584	58	14	0	0	0	0	0	0	84
0.0588	58	14	0	0	0	0	0	0	85
0.0592	58	14	0	0	0	0	0	0	85
0.0596	58	14	0	0	0	0	0	0	85
0.06	60	15	0	0	0	0	0	0	86
0.0604	60	15	0	0	0	0	0	0	87
0.0608	60	15	0	0	0	0	0	0	87
0.0612	60	15	0	0	0	0	0	0	87
0.0616	60	15	0	0	0	0	0	0	87
0.062	60	15	0	0	0	0	0	0	87
0.0624	60	15	0	0	0	0	0	0	87
0.0628	64	17	0	0	0	0	0	0	89
0.0632	64	17	0	0	0	0	0	0	89
0.0636	64	17	0	0	0	0	0	0	89
0.064	65	17	0	0	0	0	0	0	90
0.0644	63	16	0	0	0	0	0	0	90
0.0648	63	16	0	0	0	0	0	0	90
0.0652	63	16	0	0	0	0	0	0	90
0.0656	63	16	0	0	0	0	0	0	91
0.066	61	15	0	0	0	0	0	0	91
0.0664	61	15	0	0	0	0	0	0	91
0.0668	61	15	0	0	0	0	0	0	92
0.0672	60	14	0	0	0	0	0	0	92
0.0676	61	15	0	0	0	0	0	0	92
0.068	61	15	0	0	0	0	0	0	92
0.0684	61	15	0	0	0	0	0	0	92
0.0688	61	15	0	0	0	0	0	0	92
0.0692	61	15	0	0	0	0	0	0	92
0.0696	61	15	0	0	0	0	0	0	93
0.07	61	15	0	0	0	0	0	0	93
0.0704	59	14	0	0	0	0	0	0	93
0.0708	62	15	0	0	0	0	0	0	95
0.0712	65	17	0	0	0	0	0	0	96
0.0716	63	16	0	0	0	0	0	0	96
0.072	63	16	0	0	0	0	0	0	96
0.0724	63	16	0	0	0	0	0	0	96
0.0728	64	16	0	0	0	0	0	0	97
0.0732	64	16	0	0	0	0	0	0	97
0.0736	64	16	0	0	0	0	0	0	97
0.074	64	16	0	0	0	0	0	0	97
0.0744	64	16	0	0	0	0	0	0	97
0.0748	64	16	0	0	0	0	0	0	97
0.0752	64	16	0	0	0	0	0	0	97
0.0756	64	16	0	0	0	0	0	0	97
0.076	64	16	0	0	0	0	0	0	97
0.0764	64	16	0	0	0	0	0	0	98
0.0768	64	16	0	0	0	0	0	0	98
0.0772	64	16	0	0	0	0	0	0	98
0.0776	64	16	0	0	0	0	0	0	98
0.078	64	16	0	0	0	0	0	0	98
0.0784	64	16	0	0	0	0	0	0	98
0.0788	64	16	0	0	0	0	0	0	98
0.0792	64	16	0	0	0	0	0	0	98
0.0796	65	16	0	0	0	0	0	0	99
0.0799996	65	16	0	0	0	0	0	0	99
