Time (s),A(A1),A(A2),A(A3),A(A4),A(A1!1).A(A2!1),A(A3!1).A(A4!1)
0.0748,87,87,109,109,43,21
0.0752,87,87,109,109,43,21
0.0756,87,87,109,109,43,21
0.076,87,87,109,109,43,21
0.0764,87,87,109,109,43,21
0.0768,87,87,109,109,43,21
0.0772,87,87,109,109,43,21
0.0776,87,87,109,109,43,21
0.078,87,87,109,109,43,21
0.0784,87,87,109,109,43,21
0.0788,87,87,109,109,43,21
0.0792,87,87,109,109,43,21
0.0796,86,86,109,109,44,21
0.0799996,86,86,109,109,44,21
