time,A1H1L1_de5879c290daacf0e92d721f16a552eb,A1L1_7426bee00654e97954d420aef54eb910,A1_e0a393c92eea1406ea9fd08d7cf34145,H1L1_33a60c1b70e2ceb9bb9b88f20259e46c,H1_fac7c884d52a5e6d0b7ac782a55bb226,L1_05734731e88b8d4b6e3560581fdf83b1
0.0,0.0,0.0,0.996324,0.0,0.996324,0.996324
0.00012936501192019125,0.00011351799015709213,0.008956633099891137,0.9872538489099453,0.008918775154933738,0.9872917068549028,0.9783350737549662
0.0002587300238403825,0.00037362403026962765,0.017570825784660994,0.9783795501850693,0.01750498690619631,0.978445389063534,0.9608745632788706
0.00038809503576057373,0.0007657158421018773,0.025871914509968973,0.9696863696479692,0.025787141508866563,0.9697711426490715,0.9438992281393747
0.000517460047680765,0.0012917836653763373,0.03385353299590198,0.9611786833388157,0.03375905791909839,0.9612731584156194,0.927419625420359
0.0006468250596009563,0.0019389569990474254,0.04153208126174565,0.9528529617393484,0.04143669670971405,0.9529483462913801,0.9114162650305954
0.0007761900715211475,0.002712718231168706,0.04890068059040718,0.9447106011786165,0.04881336262896911,0.9447979191400546,0.8958972385509483
0.0009055550834413387,0.0035938366617728323,0.055987798433213505,0.9367423649052768,0.05591672876441656,0.9368134345740738,0.8808256361426362
0.00103492009536153,0.004580558276088487,0.06279603128068309,0.9289474104435839,0.06274931915337265,0.9289941225708944,0.8661980912926077
0.0011642851072817212,0.005666529137485368,0.06933957511919744,0.9213178957437931,0.06932489722351408,0.9213325736394765,0.8519929985235066
0.0012936501192019126,0.006845203493970741,0.07562750557670364,0.9138512909299554,0.07565229002447152,0.9138265064821877,0.8381990009097887
0.0014230151311221038,0.008110043506262665,0.08166910950466552,0.9065448469898947,0.08174052823988763,0.9064734282546727,0.8248043187556718
0.001552380143042295,0.009454544490313042,0.08747455880712639,0.8993948967036214,0.08759949580502391,0.8992699597057239,0.8117954009059468
0.0016817451549624863,0.010872201762073793,0.09305402538812958,0.8923977728511459,0.0932390766551418,0.8922127215841337,0.7991586962054045
0.0018111101668826775,0.01236033167120714,0.09841625447657226,0.8855474138538394,0.09866772314723912,0.8852959451831727,0.7868796907179403
0.0019404751788028689,0.013913745045060977,0.10357092679857177,0.8788393281582167,0.1038948263505984,0.8785154286061901,0.7749445018206493
0.00206984019072306,0.01552475512743765,0.10852865561333457,0.8722705892612979,0.10893071307246908,0.8718685318021634,0.763339876203505
0.0021992052026432512,0.01718743917325967,0.11329939554394577,0.8658371652850696,0.11378504922041535,0.8653515116086,0.7520521160808922
0.0023285702145634424,0.01889587443744955,0.1178931012134905,0.8595350243515184,0.11846750070200142,0.8589606248630076,0.7410675236671962
0.002457935226483634,0.020649857860712724,0.12231268311769644,0.8533614590241435,0.12298086323031271,0.8526932789115274,0.7303805958123537
0.002587300238403825,0.02245025294930427,0.12655973821447605,0.847314008838698,0.127326651414362,0.8465470956388121,0.7199873574425458
0.0027166652503240163,0.024287066745432198,0.1306492338317764,0.8413876994250652,0.13151942009337514,0.8405175131634666,0.7098682793487059
0.0028460302622442075,0.02615565085525691,0.13458955515464727,0.8355787939920154,0.13556730448928583,0.834601044657377,0.7000114895175349
0.0029753952741643987,0.02805135688493881,0.13838908736813846,0.8298835557483188,0.13947843982402783,0.8287942032924296,0.6904051159357343
0.00310476028608459,0.029972136852854214,0.14205241223865642,0.8242994509092011,0.14325725993230712,0.8230946032155505,0.6810421909838749
0.0032341252980047815,0.03192247540873938,0.1455745567659625,0.8188269678252423,0.146898900200633,0.817502624390572,0.6719280676265484
0.0033634903099249726,0.033894983645989515,0.14896791446781601,0.8134611018852395,0.15041539665515968,0.8120136196978959,0.6630457052260653
0.003492855321845164,0.035887442225734506,0.15223731774140487,0.808199240030881,0.1538114270378934,0.8066251307343925,0.6543878129821469
0.003622220333765355,0.03789788664702359,0.155387226252514,0.8030388870973417,0.15709130635841903,0.8013348069914369,0.6459475807204409
0.003751585345685546,0.0399238664703666,0.15842262921715858,0.7979775043081545,0.16025986750268661,0.7961402660226266,0.637717636778914
0.0038809503576057378,0.04195568418535697,0.1613572806059978,0.7930110352035891,0.16333049862743587,0.7910378171821512,0.6296805365446246
0.0040103153695259285,0.04399762588165204,0.16418783973120432,0.7881385343814947,0.16629990489136068,0.7860264692213385,0.6218386294545546
0.00413968038144612,0.04604820368018234,0.16691793638949684,0.7833578599242758,0.16917159555229688,0.7811042007614758,0.6141862643336293
0.004269045393366312,0.04810615129376456,0.1695508681405732,0.7786669805594756,0.1719487566573642,0.7762690920426847,0.6067182238626616
0.0043984104052865024,0.05017042402710159,0.17208960030711076,0.7740639756597774,0.17463425104296618,0.7715193249239221,0.5994297245783518
0.004527775417206694,0.05224019877678251,0.17453676597476608,0.7695470352430029,0.1772306183347904,0.7668531828829788,0.5923164168732876
0.004657140429126885,0.05431487403128253,0.1768946659921751,0.7651144599721139,0.1797400749478082,0.7622690510164809,0.5853743849959444
0.004786505441047076,0.0563940698709631,0.17916526897095306,0.7607646611552108,0.18216451408627493,0.757765416039889,0.578600147050685
0.004915870452967268,0.0584776279680718,0.18135021128569456,0.7564961607455336,0.18450550574372981,0.7533408662874984,0.5719906549977599
